text,openness,conscientiousness,extraversion,agreeableness,emotional_stability
creative innovative ai machine learning research,1,0,0,0,1
logical analytical coding python dsa algorithms,1,1,0,0,1
team leadership project management organized planning,0,1,1,1,1
communication social marketing presentation speaking,0,0,1,1,0
helpful cooperative supportive team work friendly,0,0,1,1,1
detail oriented disciplined structured focused work,0,1,0,1,1
extrovert outgoing energetic social networking,0,0,1,1,0
problem solving critical thinking development research,1,1,0,0,1
calm emotional stable pressure handling stress control,0,1,0,1,1
creative writing imagination artistic design innovation,1,0,0,1,1
